href,href_url,Brand,Item,is_men
1126957,/ditch-miller-standard-embroidered-hoodie-1126957.html,Saturdays NYC,Ditch Miller Standard Embroidered Hoodie,True
655827,/essential-logo-crew-sweat-655827.html,Puma,Essential Logo Crew Sweat,True
1104891,/felpa-hoodie-1104891.html,Armani Exchange,Felpa Hoodie,True
1005092,/try-pullover-hoodie-1005092.html,Champion,Try Pullover Hoodie,True
1003961,/power-knit-hoodie-1003961.html,Puma,Power Knit Hoodie,True
1111515,/dunraven-sherpa-full-zip-sweatshirt-1111515.html,The North Face,Dunraven Sherpa Full-Zip Sweatshirt,True
1076999,/mens-star-pilot-hoodie-1076999.html,DC Shoes,Mens Star Pilot Hoodie,True
1130110,/superstate-crew-1130110.html,Superdry,Superstate Crew,True
1147390,/denim-goods-co-hood-1147390.html,Superdry,Denim Goods Co Hood,True
1013529,/pullover-russell-athletic-hoodie-1013529.html,Russell Athletic,Pullover Russell Athletic Hoodie,True
1101784,/institutional-regular-crew-neck-sweatshirt-1101784.html,Calvin Klein Jeans,Institutional Regular Crew Neck Sweatshirt,True
